Platform,Year_of_Release,User_Score
GBA,2002,
Wii,2010,tbd
Wii,2010,
PS3,2012,
SAT,1995,
PS2,2006,
3DS,2011,
XB,2005,7.6
DS,2008,tbd
PSP,2010,
DS,2009,tbd
DS,2009,
PS4,2016,6.7
DS,2007,tbd
PS3,2016,
Wii,2008,tbd
PS2,2008,
DS,2009,tbd
3DS,2014,
DS,2007,7.6
XB,2005,8.1
XB,2003,tbd
PC,2010,7.4
PS3,2014,
PC,2011,7.9
PS2,2002,
DS,2006,
DS,2008,
DC,1998,
GBA,2002,tbd
X360,2011,
DS,2008,tbd
Wii,2007,7.1
GC,2003,7.3
Wii,2009,tbd
PSP,2010,
DS,2005,
XOne,2016,
GC,2003,tbd
Wii,2008,7.6
PC,2011,7.4
PC,2007,8
GC,2002,4.7
PSV,2016,
DS,2008,
DS,,
PS2,2011,8.2
Wii,2009,tbd
XB,2004,8.6
DS,2007,7
PC,2005,8.4
DS,2009,8.2
PSP,2012,
Wii,2010,tbd
PSV,2015,
PS4,2016,
XB,2005,6.7
N64,1999,
XOne,2016,6.9
3DS,2012,
X360,2014,5.7
PSV,2014,
X360,2011,
X360,2007,tbd
PC,2011,5.3
PS2,2003,8.1
PS3,2011,7.4
DS,2011,
DS,2007,tbd
PS,1996,
DS,2010,tbd
DS,2010,tbd
PS2,2008,
PC,2007,8.8
N64,1998,
N64,1998,
N64,1998,
N64,1999,
N64,1999,
N64,1998,
N64,2000,
N64,2000,
N64,1998,
N64,1998,
Wii,2009,
N64,1998,
SAT,1997,
GC,2002,tbd
PSV,2015,8
PSP,,
PSP,2007,6.6
DS,2007,7.2
3DS,2012,
PC,2009,8.7
XB,2004,tbd
GBA,2005,tbd
3DS,2015,
DS,2007,tbd
DS,2008,tbd
DS,2009,tbd
PC,2010,
DS,2009,tbd
Wii,2011,tbd
PC,2010,6.8
DS,2008,tbd
PS2,,tbd
PSP,2010,
PS,1999,
PSP,2006,4
DS,2008,tbd
SAT,1994,
3DS,2013,
PS3,2015,3.1
DS,2007,tbd
PS2,2006,8.5
PS2,2004,8.6
Wii,2008,tbd
GBA,2004,tbd
GBA,2002,5.9
PSP,2008,
DS,2009,
PSP,2007,7.4
DS,2008,
GBA,2005,tbd
3DS,2016,
WiiU,2015,6.5
PS2,2006,
PSP,2005,
DS,2006,7
GBA,2003,2.5
PS2,2000,
PSP,2006,tbd
XB,2004,
SCD,1994,
PS2,2007,
PSP,2010,
PS,2002,
PS2,2009,
PSV,2014,
PS,1995,
GBA,2005,
GBA,2002,7.8
GC,2003,8.5
3DS,2016,
SAT,1995,
GC,2002,tbd
PSP,2012,
PC,2003,8
PS2,2005,7.9
XB,2005,tbd
3DS,2014,7.8
3DS,2013,tbd
3DS,2013,
3DS,2014,
XB,2003,8.4
DS,2009,tbd
XOne,2016,
PSP,2005,7.4
PS2,2001,6.4
DS,2008,8
PC,2008,6.9
Wii,2010,
X360,2014,7.5
DS,2005,7
PS2,2006,
PS2,2004,
X360,2008,3.3
DS,2006,
PS4,2015,
PC,2010,
GBA,2004,
PC,1992,
XB,2004,4.3
PSP,2012,
X360,2010,tbd
DS,2008,
DS,2005,tbd
DS,2006,
DS,2008,
PS2,2006,6.6
DS,2010,
DS,2010,tbd
PS,1999,
DS,2011,
3DO,1995,
PSP,2012,
PS,1996,
NES,1989,
DS,2010,
PS3,2008,3.5
X360,2007,6.1
PS3,2016,tbd
GBA,2004,8.9
PS2,2010,7.9
XB,2005,
PS3,2011,tbd
PS2,2008,
XOne,2015,8.4
SAT,1996,
X360,2012,6.5
PSP,2012,
SNES,1993,
PC,2009,5.8
PSP,2006,7.8
PSV,2015,8.3
PC,2004,8.1
PS,1997,
DS,2007,
DS,2010,
X360,2009,5
XB,2002,tbd
PSP,2007,
PS2,2006,tbd
DS,2007,
Wii,2010,tbd
Wii,2009,tbd
DS,2009,tbd
DS,2008,
DS,2008,
PSP,2011,
XB,2002,8.6
PS2,2006,7.8
PS2,2006,4.6
DS,2009,
GB,1991,
Wii,2010,7.2
GC,2003,8.5
DS,2006,tbd
PS,1998,
PSP,2009,
XB,2004,4.6
DS,2008,tbd
DS,2008,tbd
PSV,2014,
X360,2012,3.5
PS4,2016,
X360,2008,8.1
PS2,2007,7.5
SAT,1998,
Wii,,tbd
PC,2016,2.9
WiiU,2014,
DS,2010,
PS3,2015,tbd
PS,1999,
GBA,2001,9
PS,2000,tbd
SNES,1992,
PS2,2002,
PS4,2015,4.1
PSP,2006,7.6
GBA,2003,tbd
PSP,2006,
PS2,2000,
DS,2007,7.6
X360,,
XB,2005,7.1
GC,2006,7.1
PSP,2011,
DS,2009,
DS,2010,
X360,2011,
Wii,2008,8.2
PC,2007,8.4
DS,2005,7.7
DS,2007,
DS,2011,
PSP,2009,
PS2,2007,
PS2,2004,8.4
PS,2001,
PS2,2006,
X360,2014,7.2
DS,2006,6.8
PS,1995,
GC,2005,
PS2,2001,tbd
PS4,2015,1.9
DS,2008,tbd
GC,2003,9.1
GC,2002,7.8
GC,2005,6.9
PS4,2016,
PSP,2006,6.9
PS3,2010,6.5
DS,2011,5.6
DS,2007,
PS3,2015,tbd
PC,2005,7.8
Wii,2010,tbd
PSP,2005,7.7
PSV,2012,
Wii,2009,
PS,1997,
PS2,2005,8.4
Wii,2009,tbd
PSP,2012,
PS3,2014,6.4
GC,2002,tbd
PSV,2012,6.8
PS2,2007,
PS2,2004,
XB,2002,tbd
PC,2001,7.8
3DS,2012,
XB,,3.6
GBA,2005,
DS,2006,8.6
PSV,2012,
PC,2013,7.4
PSP,2013,
PS2,2010,tbd
SNES,1995,
SAT,1994,
PSV,2015,
PSP,2011,
PS,1996,
Wii,2010,tbd
PS2,2000,
DS,2007,tbd
GC,2005,
DS,2008,tbd
DS,2005,
PS2,2000,
DS,2007,
GBA,2002,tbd
DS,2009,tbd
PS2,2002,tbd
DS,2009,
PS2,2008,
X360,2011,
PS,2000,tbd
PS,1998,
XB,2006,6.8
PSV,2016,
GBA,2002,tbd
3DS,2011,
DS,2009,tbd
PS4,2015,3
3DS,2011,
GBA,2004,tbd
DS,2009,tbd
PSV,2015,tbd
X360,2013,1.3
NG,1996,
PS4,2014,
PS2,2005,tbd
DS,2008,
PS2,2007,
PC,2009,8
SAT,1995,
PSP,2010,
X360,2008,6.1
GC,2004,8.2
PS,1997,tbd
PC,2016,8.2
X360,2011,
PS4,2016,
PS,1995,
DS,2007,tbd
GBA,2004,
SAT,1997,
XB,2003,tbd
PS2,2002,7.4
3DS,2011,
PS,1996,
PC,2009,8.1
PC,2006,8.1
GC,2004,6.6
DS,2008,tbd
XB,2002,tbd
DC,2000,
PS2,2004,tbd
DS,2007,7.9
PSP,2010,
PSV,2015,
DS,2006,
PC,2011,tbd
PS2,2005,
PC,2006,7.3
Wii,2009,
PSP,2013,
SAT,1998,
DS,2009,tbd
XOne,2016,5.2
DS,2010,tbd
GBA,2002,tbd
GBA,2002,
Wii,2007,3.6
PS2,2006,6.2
XB,2003,8.8
GBA,2005,9.1
PC,2010,6.6
XB,2003,7.1
DS,2010,
PC,1999,8.8
PS2,2002,7.2
PS,1997,
DS,2010,tbd
DS,2010,tbd
Wii,2010,tbd
DS,,tbd
PS,1996,
PSP,2008,
GC,2003,
Wii,2009,5.5
PSP,2011,tbd
DS,2008,
PS2,2002,tbd
GC,2001,tbd
DS,2006,tbd
PSV,2015,
PC,2016,6.9
GBA,2003,8.3
DS,2008,tbd
PS2,2006,7.2
PC,2009,tbd
Wii,,6
XB,2002,8.5
PS3,2014,6
PS2,2010,
Wii,2009,tbd
GC,2002,tbd
DS,2008,tbd
PS4,2016,
PSP,2010,
PSP,2009,tbd
XB,2004,tbd
XB,2003,tbd
PSP,2006,tbd
PC,2010,5.1
PSP,2011,
PSP,2011,
PS,1998,
PS2,2001,tbd
XB,2005,8
PSV,2015,tbd
GBA,2004,
GBA,2002,tbd
PS2,2004,tbd
PC,2012,6.7
XOne,2015,
PC,2009,7.4
PSV,2016,
3DS,2015,
DS,2010,tbd
PS3,2016,
Wii,2008,
PC,2014,7.4
PSP,2006,tbd
PS2,2006,
PS2,2001,8.3
XB,2006,tbd
3DS,2015,tbd
PSP,2008,7.8
GBA,2002,8.3
XB,2004,8.1
PC,2011,5.5
DS,2006,
PSP,2007,tbd
GC,2003,
PS,2002,
DS,2011,tbd
PSV,2016,
GC,2003,8
PS3,2015,tbd
PSV,2015,
PSV,2015,
XB,2002,
SNES,1995,
Wii,2008,tbd
PS2,2002,
DS,2011,tbd
PS2,2003,
Wii,2009,
Wii,2011,
PC,2011,7.1
PSV,2014,
XB,2003,6.6
Wii,2013,
PS2,,tbd
3DS,2013,
PS,1995,
DS,2009,7.5
PSP,2006,7.3
XB,2003,8.8
PS4,2016,3.5
DS,2010,tbd
SNES,1993,
PS2,2006,7.2
PS4,2016,7.8
GBA,,8.3
DS,2007,
DS,2010,
PS,1999,
DS,2008,tbd
PS3,2014,
DS,2010,tbd
PC,2007,7.3
DS,2009,
PS,1997,
3DS,2012,
Wii,2007,tbd
XB,2004,tbd
PS,1999,
GEN,1993,
PS3,2012,
PS4,2015,
DS,2010,tbd
Wii,2009,
DS,2009,tbd
PC,2011,8.2
PSP,2012,
XB,2002,
DS,2008,6.8
PS2,2006,
XB,2005,tbd
Wii,2010,tbd
SNES,1993,
DS,2008,tbd
PS2,2004,
XOne,2016,4.9
WiiU,2013,6.5
DS,2010,tbd
DS,2009,
GC,2002,6
PS4,2015,
X360,2007,8.2
PSP,2009,
Wii,2011,tbd
PC,2015,3.6
SCD,1994,
PSV,2015,
GC,2002,tbd
DS,2009,6
PS2,2006,
X360,2011,
PC,2011,6.6
PS2,2004,tbd
DS,2008,tbd
PS3,2009,
PS2,2008,
PSP,2009,
Wii,2009,tbd
DS,2008,tbd
XB,2003,8.3
PS2,2005,7.3
DS,2007,
X360,2010,6.3
GC,2003,8
PC,2010,3.8
Wii,2007,1.1
XB,2004,5.5
PSP,2012,
XB,2003,7.8
DS,2006,tbd
XB,2004,tbd
XB,2002,tbd
PS3,2016,3.4
X360,2014,
GBA,2003,
PS4,2016,8
GC,2005,
PS2,2002,4.4
WiiU,2015,
Wii,2009,tbd
PS,1998,
Wii,2008,
PC,2015,5.1
DS,2010,
PC,2011,7.7
PS2,2002,5.9
DS,2010,tbd
DS,2010,
PSV,2015,
XOne,2015,7.1
PSP,2010,6.5
DS,2008,
DS,2009,tbd
DS,2009,tbd
X360,2014,4.1
DS,,
PC,2009,6.8
PC,2009,4.9
DS,2008,tbd
SNES,1991,
PC,2010,tbd
DS,2011,tbd
XOne,2015,7.1
X360,2010,8.6
PSP,2010,
DS,2006,
X360,2010,6.6
GBA,2003,
GBA,2005,8.2
PSP,2010,
DS,2010,tbd
DS,2007,tbd
PS,2001,
PS4,2015,
PS2,2008,
WiiU,2015,
DS,2009,tbd
DS,2006,
DS,2007,tbd
DS,2007,
PSP,2010,
GBA,2003,7.9
PSP,2004,
PS2,2002,tbd
PS2,2009,
DS,2010,tbd
GC,2002,7.8
PC,2013,6.5
Wii,2009,tbd
DS,2008,7.8
DS,2004,
DS,2008,7
DS,2009,
DS,2007,
PSP,2007,7.4
Wii,2011,4.1
PS,2001,
XB,2002,8.3
PS2,2001,6.3
PS,1999,
DS,2005,
PS3,2011,
PS,2000,
PS,1998,
DC,2000,7.8
PS4,2016,
Wii,2010,
DS,2009,
PSV,2015,
PSP,2006,tbd
XOne,2016,
PSP,2012,
Wii,2007,2.8
DS,2007,tbd
DS,2006,5.1
DS,2006,
GC,2003,7.3
GC,2003,tbd
PS,1998,
DS,2009,tbd
DS,2006,tbd
DS,2007,
N64,1999,
3DS,2015,
PSV,2014,
GC,2004,8.5
PS,1995,
SAT,1995,
GBA,2001,tbd
PSP,2010,
PS2,2006,
WiiU,2013,6.2
X360,2011,
GC,2002,6.3
PC,2008,7.3
PS2,2006,
DS,2008,tbd
DS,,8.1
PS4,2015,8.3
DS,2010,6.3
GBA,2003,
PS2,2005,
PS3,2008,4.5
XB,2004,6
Wii,2009,
GC,2002,tbd
N64,1997,
N64,1999,
N64,2000,
N64,1998,
PS2,2006,8.8
N64,2000,
DS,2011,
DS,2012,tbd
N64,1999,
DS,2007,
PS3,2009,
PS2,2007,
XB,2003,8.2
PSP,2011,
SNES,1995,
DS,2010,
PS,1999,
PS3,2013,
PS3,2015,4.8
DS,2012,
GBA,2003,9
X360,2012,6.7
PSV,2013,
DS,2006,5.8
GC,2002,4.5
DS,2007,
DS,2010,
GBA,2002,tbd
PS4,2015,
DS,2010,
PSP,2006,
SNES,1994,
PSV,2016,
PSP,2010,
PC,2005,8.7
Wii,2009,tbd
PS,1996,
GBA,2003,9.1
SNES,1993,
PS2,2004,
GC,2005,tbd
PC,2014,
PSP,2006,tbd
3DS,2012,
X360,,7.6
PSP,2010,
GBA,2005,tbd
PS2,2006,
PSP,2010,
PS2,2007,
PC,2009,8.9
DS,2006,
DS,2008,7.6
DS,2008,
PS2,2001,7.8
Wii,2009,tbd
PC,2007,
3DS,2013,
PSP,2009,7.8
PSP,2006,7.8
SAT,1995,
PS4,2015,
PS,1996,
3DS,2016,5.1
GC,2003,tbd
DS,2008,tbd
Wii,2009,tbd
PS2,2000,
PS3,2014,8.1
PC,2009,8.2
PC,2013,3.4
PS2,2006,tbd
PS2,2001,7.4
XOne,2016,
PS2,2007,
Wii,2007,4.8
PS4,2016,7.4
XB,2003,tbd
DS,2008,
PS2,2001,
3DS,2012,
PS4,2016,
PSP,2007,
GBA,2004,tbd
DS,2008,
DS,2011,tbd
PSP,2011,
GC,2002,9
GBA,2002,tbd
PC,2015,5.4
PS2,2011,tbd
GBA,2004,tbd
PS,2000,tbd
PS3,2010,
DS,2008,
PS,1998,
Wii,2006,
DS,2008,tbd
GBA,2001,tbd
PS4,2015,5.7
GBA,2002,tbd
PS2,2001,8.1
DS,2007,
SAT,1996,
DC,1999,
SNES,1995,
GC,2005,tbd
SNES,1995,
PC,2016,7.5
PS2,2010,
PS,1995,
GBA,2002,tbd
PS2,2008,
DS,2007,tbd
PC,2010,7.7
PS4,2016,3.8
DS,2006,tbd
PS2,2005,8.6
SAT,1995,
PS4,2014,8
PS2,2004,
Wii,2006,
GBA,2006,tbd
PS2,2002,
PS2,2007,7.9
DS,2008,
PS3,2010,tbd
DS,2010,tbd
X360,2008,5.9
SAT,1994,
SNES,1996,
DC,2001,
XB,2005,3.4
DS,2007,
XB,2005,7.7
PC,2004,8.8
XB,2005,tbd
GBA,2003,9.4
Wii,,tbd
PS,1998,7.5
PSP,2006,8.1
PC,2003,9
DS,2011,
PS2,2007,
SNES,1995,
PC,2009,8
GBA,2001,tbd
GC,2005,tbd
PSP,2006,
PS2,2006,7.8
XB,2004,8.3
GC,2002,7.7
X360,2006,7.5
PC,2014,
PC,2006,7.2
XB,2004,7.5
PSP,2011,
PS,1995,
PS,1999,7.1
DS,2011,
X360,2011,tbd
3DS,2013,
PS3,2015,
XB,2005,tbd
PSP,2013,
PS2,2008,
PS3,,
PSP,2006,tbd
PS,1996,
GC,2003,tbd
PSP,2012,
DS,2008,
GC,2003,tbd
Wii,2009,
X360,2008,5.5
DS,2011,
PC,2001,8.2
DS,2007,
PS3,2013,7.4
PS3,2012,
PC,2010,6.8
PS2,2007,
DS,2008,
GBA,2001,tbd
DS,2008,
PC,1998,9.1
3DS,2013,
PS2,2004,6.7
GBA,2002,tbd
GBA,2002,tbd
PSP,2006,7.8
XB,2002,7.2
GEN,1993,
XB,2004,tbd
PS3,2013,
Wii,2009,
PC,2003,8.3
DS,2009,tbd
PSV,2015,
PS3,2011,
PS,1998,
PSP,2011,
GC,2005,tbd
PS2,2006,
DS,2009,7.4
PSP,2006,7.8
DS,2009,
PSP,2007,7.7
XB,2005,8.1
PC,2004,8.1
Wii,2011,tbd
XB,2002,
PS,1995,
PS3,2013,
PS,2001,8.7
DS,2006,tbd
PSP,2006,tbd
X360,2012,
Wii,2010,tbd
XB,2002,7
PSV,2014,
DS,2008,
PS3,2015,tbd
Wii,2011,
PC,2010,6.2
PS3,2011,
PS,2001,6.7
DS,2011,
PS,1996,
Wii,2007,0.3
PSP,2006,7.3
GC,2003,
Wii,2010,
XOne,2016,6.1
PC,2009,3.8
PC,2011,
Wii,2006,
GC,2005,7.8
PS3,2015,
XB,2006,tbd
PSV,2014,
PC,2000,7.9
N64,1997,
Wii,2007,tbd
PC,2011,3.9
Wii,2007,tbd
PS2,2001,8.7
PSP,2006,
GC,2003,tbd
DS,2009,
DS,2006,
PSV,2012,
PSP,2012,
X360,2006,
X360,2013,6.1
DS,2007,
PSV,2011,
XB,2004,
PS,1999,
Wii,2007,tbd
3DS,2011,tbd
X360,2007,3
XOne,2016,8.1
X360,2014,5.3
3DS,2014,
X360,2010,4.8
GC,2002,
GC,2002,tbd
PSV,2014,
DS,2011,
PS2,2001,
XB,2002,tbd
DS,2007,6.8
GBA,2005,
3DS,2016,
Wii,2007,0.7
X360,2008,7.2
PSP,2012,
DS,2008,
PC,2006,8.8
PSP,2011,
Wii,2008,4.5
PC,2011,
PSV,2014,
PS,1999,
PS3,2016,tbd
PS4,2016,8
Wii,2006,4.9
PC,2007,6.9
PSP,2006,
PS,2000,
DS,2009,
XB,2004,7
DS,2006,1.7
DS,2008,tbd
SAT,1996,
X360,2009,
DS,2007,
PSP,2008,
GBA,2003,8.4
PSP,2014,
DS,2010,
PS3,2006,
DS,2008,tbd
PC,2010,tbd
XB,2005,2.7
DS,2005,6.2
PS,2001,
PS2,2002,
XB,2003,9.3
DS,2010,tbd
DS,2006,
DS,2004,tbd
PSV,2016,7.8
XB,2003,6.9
PC,2007,8.3
Wii,2009,5.3
PC,2009,7.3
DS,2008,8.6
3DS,2011,
N64,1999,
PC,2001,8.4
GBA,2003,tbd
3DS,2011,tbd
PS,1997,
PSV,2014,
XOne,2016,6.3
DS,2011,
XB,2004,tbd
DS,2008,6.3
DS,2011,
DS,2011,
GC,2004,2
PS4,2016,
PS2,2009,tbd
PSV,2015,
Wii,2007,5.9
DS,2010,tbd
SCD,1994,
PS,1999,
PC,2009,
DS,2007,6.6
DS,2006,
GBA,2005,
PS,1995,
X360,2010,
PS2,2009,
DS,2008,tbd
PS2,2006,7
PSP,2006,tbd
PS4,2016,8.1
Wii,2008,tbd
DS,2008,6.2
PSP,2006,tbd
DS,2008,
PS2,2007,
Wii,2011,tbd
DS,2008,
PS2,2006,tbd
PSP,2009,
SAT,1995,
PS2,2007,8.3
DS,2005,
DS,2010,
3DS,2015,tbd
GBA,2005,tbd
DS,2009,7.5
PC,2002,9.1
GC,2002,3
PSV,2015,
PS,1996,
DS,2007,
XB,2005,8.3
DS,2008,tbd
DS,2007,4.8
DS,2009,tbd
X360,2007,6.8
PS,2001,
DS,2007,8.9
DS,2010,tbd
DS,2010,tbd
DS,2008,
PC,2009,8.1
GBA,2004,8.5
PC,2016,8.6
PS,1998,
3DS,2013,
PC,2011,
PS,1996,
DS,2007,tbd
GBA,2004,tbd
GBA,2002,tbd
PS3,2016,
PSP,2007,tbd
DS,2009,
XB,2004,8.3
Wii,2009,
DS,2008,tbd
PS4,2016,7
PS2,2000,
PSP,2009,
3DS,2016,
GBA,2005,
PS2,2007,
PS,1997,
DS,2009,
PS2,2002,
PSV,2014,
PC,2015,4.3
DS,2008,7.7
XOne,2016,6
PS3,2014,
PS2,2005,
PC,,
PC,2009,8.2
GC,2007,tbd
DS,2008,
PSV,2016,
Wii,2009,
Wii,2014,
GG,1992,
XB,2006,7.3
3DS,2011,tbd
PS2,2006,8.2
Wii,2008,7.8
PS2,2003,tbd
GBA,2003,tbd
PC,2009,7.3
X360,2014,5.8
PSP,2006,
GC,2004,
Wii,2010,tbd
DS,2006,tbd
Wii,2009,
PSP,2010,
GC,2004,tbd
GBA,2005,
3DS,2015,8.5
3DS,2015,
XB,2003,8.8
PS3,2012,
Wii,2007,
PC,2009,
SNES,1995,
GBA,2004,tbd
Wii,2007,7.6
PS4,2014,8.1
DS,2006,7.5
GBA,2002,tbd
PC,2007,8.2
PS,1998,
PSP,2012,
DS,2006,
PSP,2011,8.2
PSP,2009,
PSP,2009,
PS2,2006,
PS3,2012,
PS3,,
DS,2008,
X360,2006,6.1
DS,2008,
PS2,2001,
Wii,2011,
PSV,2012,
PS,1998,
X360,2016,4.3
XB,2004,tbd
PC,2006,8.8
GBA,2002,tbd
PS2,2004,
DS,2009,tbd
PS2,2005,5
PC,2003,8.2
DS,2011,
PSV,2014,8.4
PSP,2007,6.3
PS2,2008,
XB,2003,tbd
PSP,2008,
3DS,2013,8.3
PS2,2006,
PSP,2010,
DS,2009,
PC,2005,8.8
Wii,2008,4.5
XB,2005,7.7
PS3,2013,
PS3,2015,6.3
X360,2012,
GBA,2001,
PS3,2016,
XOne,2015,8.9
PS3,2015,
Wii,2008,
X360,2010,1.7
PS3,,
DS,2008,tbd
DS,2011,
3DS,2014,
DS,2006,
Wii,2007,tbd
PS3,2011,tbd
PC,2006,7.4
Wii,2007,tbd
GBA,2002,tbd
XB,2006,7
PS,2000,8.3
DS,2010,tbd
PS2,2001,
XB,2004,tbd
PS3,2013,
PS2,2009,
DS,2009,tbd
PS2,2002,
PS,2001,
PS4,2015,6.9
PSP,2004,
DS,2007,6.2
3DS,2011,
XB,2003,8.6
PC,,3.8
PC,2010,8.2
XB,2002,tbd
PC,2012,5.9
PSV,2014,
PSP,2007,7.3
GC,2003,tbd
PSP,2007,tbd
DS,2005,
DS,2007,
Wii,2008,0.2
PSV,2014,
XB,2006,
PSP,2011,
DS,2006,
XB,2005,
PSP,2012,
PS3,2013,1
PC,2007,5.9
GC,2004,8.1
PC,2011,tbd
3DS,2013,
3DS,2015,5.8
3DS,2015,5.6
PC,2012,5.7
DS,2007,
PSP,2011,
PSP,2006,tbd
PSP,2009,
DS,2009,
DS,2008,
PSP,2008,7.1
Wii,2008,tbd
PSP,2010,
PS2,2000,
PS2,2007,
PSP,2005,
PC,2002,8.2
DS,2009,tbd
PS,,
SNES,1996,
3DS,2012,6.3
PC,2008,7.7
PSV,2016,
PC,2006,7.7
X360,2012,6.3
DS,2008,
PC,2015,
DS,2008,
PSV,2016,
PSP,2010,
Wii,2010,8.6
PS3,2011,
DS,2011,
DS,2011,tbd
PSP,2011,
PS2,2005,
PS4,2016,6.8
DS,2009,tbd
PS3,2015,
PC,2009,6.5
PC,2004,7.7
XB,2004,4
PC,2009,7.2
PS2,2008,
DS,2010,
PC,2009,tbd
Wii,2007,8.4
DS,2006,tbd
PS2,2001,5.5
PS,1998,
DS,2007,
PC,2016,8
PSP,2011,
GBA,2004,tbd
PC,2008,8.5
DS,2009,
XB,2005,tbd
X360,2011,
X360,2016,tbd
3DS,2011,
PSP,2006,tbd
Wii,2006,5.7
DS,2010,
DS,2008,tbd
PS,1995,
PSP,2012,
X360,2007,tbd
PS3,2012,4.9
PC,2006,7.9
PS,1998,
N64,2000,
PS3,2010,
N64,1998,
DS,2010,
SAT,1994,
SAT,1996,
PSP,2006,7.2
PSV,2012,
PS2,2005,5.8
X360,2012,
PC,2003,8.7
DS,2009,tbd
PSP,2011,
PS4,2016,8.3
Wii,2007,tbd
PC,2011,7.3
SNES,1995,
XB,2005,6.9
PC,,7.9
PS3,2015,tbd
PSP,2012,
GC,2002,tbd
PS3,2012,tbd
3DS,2011,7.8
XOne,2014,7.7
3DS,2014,
PC,2007,8.6
X360,2011,
PC,2001,
GC,,7.8
PSP,2009,
3DS,2016,
Wii,2010,
Wii,2010,
SNES,1995,
N64,1999,
N64,1999,
N64,1999,
N64,2000,
N64,1999,
N64,1998,
GBA,2003,5.7
PSP,2012,
PS2,2003,
PSV,2012,3.8
GC,2002,
PSP,2011,
XB,2005,9.2
PSP,2012,
PC,2003,9
DS,2010,tbd
PS,1998,
PSP,2009,
PC,2011,4.9
PSP,2013,
PC,2005,8.4
PS3,2007,
PSP,2011,
PS2,2008,
PS2,2002,5
DS,2008,
DS,2009,
PS2,2006,
PS3,2010,
DS,2009,
GBA,2002,tbd
PS3,2012,
PS2,2008,
DS,2008,
X360,2007,8.5
PSP,2009,6.1
PS2,2006,
PC,2010,6.4
PSP,2009,
PS2,2003,7.5
GBA,2003,tbd
DS,2006,
DS,2007,tbd
PC,2013,7
PS2,2007,
PS3,2013,
PSP,2011,
Wii,2010,
XB,2006,2.8
DS,2008,tbd
GBA,2004,
DS,2005,tbd
PS2,2009,
PS3,2013,
DS,2009,tbd
DS,2007,
XB,2004,8.5
PS,1995,
PSP,2011,
DS,2010,
PS3,2011,8.4
X360,2011,
Wii,2010,
PS3,2015,8.3
PSP,2009,tbd
PSV,2015,
DS,2008,
PS2,2003,
DS,2008,
PSP,2008,
PS2,2004,6.7
GBA,2003,tbd
DS,2009,tbd
3DS,2012,
X360,2011,
PS4,2016,6.6
Wii,,tbd
PC,2003,8.8
3DS,2016,
PS,1997,
PC,2009,
PS3,2007,5.1
X360,2013,
DS,2007,
PS,1997,
GBA,2002,tbd
PSP,2007,7.7
Wii,2008,8.3
PC,2010,5.5
X360,2006,2.2
PC,2010,
PC,2007,2.8
PSP,2009,tbd
PC,2015,7.6
PSP,2007,tbd
PS3,2015,
PC,2012,3.8
PS4,2015,
Wii,2009,tbd
PSV,2015,
XB,2006,8.8
SAT,1995,
PSP,2010,
DS,2005,
GC,2005,
PC,2011,3.1
3DS,2015,tbd
PS2,2010,tbd
PS2,2008,tbd
PS,1999,
PS2,2004,tbd
3DS,2015,
PS2,2006,tbd
PS4,2016,
DS,2011,
GBA,2002,
PS,2001,
PS4,2016,7.8
DS,2011,
DS,2007,8
PSV,2015,8.1
PS,1998,
GBA,2001,
PSP,2012,
PC,2011,6.4
DS,2009,
PSP,2010,
PS,1999,
XB,2002,7.4
Wii,2010,tbd
XOne,2015,
PS2,,
DS,2007,2.2
DC,2001,
GC,2006,
Wii,2010,
DS,2007,
PS2,2005,7.4
Wii,2009,
PSP,2006,
X360,2009,7.7
DS,2010,
PS2,2008,
PC,2015,7.1
XB,2003,7.5
3DS,2015,
PS,1995,
DS,2009,tbd
PSP,2007,
PSP,2006,
PS,2001,
Wii,2008,tbd
PC,2005,8.3
PS,1999,tbd
PSP,2006,
PS,1997,
DS,2012,
PS2,2002,
PSV,2015,
DS,2006,7.2
PC,2015,4
PS,1996,
PS,1999,
Wii,2011,
PS,1996,
PC,2007,8.9
PS,1997,
PS3,2014,
XOne,2014,
GBA,2004,8.5
NG,1996,
DS,2009,
GBA,2002,tbd
PS,1999,
PSP,2012,
PC,2013,6.2
GBA,2005,tbd
PSP,2012,
PS2,2004,8.8
DS,2007,6.6
PSP,2006,
GBA,2002,
PSP,2009,
GC,2006,
XOne,2016,1.6
PSP,2011,
3DS,2013,6.3
PSV,2014,
GC,2002,tbd
PC,2014,7.7
DS,2006,7.4
PS2,2002,
Wii,2009,
PC,2003,7.4
PS2,2006,
PS4,2015,7.9
X360,2009,tbd
DS,2008,7.3
PS3,2008,
PS3,2014,
DS,2005,tbd
GBA,2005,
DS,2006,
PS4,2015,6.4
PSP,2009,tbd
PC,2011,7.8
PS2,2007,7.4
DS,2008,tbd
DC,2008,
PC,2006,7.6
Wii,2010,
PS3,2008,6.2
PS2,2004,8.8
PSV,2015,8.1
PC,2011,5.7
GBA,2002,tbd
PSP,2010,
PSV,2014,
DS,2010,
DS,2007,4.8
Wii,2007,5.8
PC,2007,7.1
GBA,2002,tbd
X360,2010,
DS,2009,6.9
GBA,2003,
SAT,1994,
PSV,2014,
PS2,2006,6.9
PS2,2005,8.2
PS,1999,
PSP,2012,
PSP,2013,
DS,2007,
GBA,2005,tbd
PS2,2008,
GC,2004,7.3
PS3,2011,tbd
X360,2009,
PC,2006,7.5
PS3,2009,
PS3,2012,6.3
PS2,2006,8.3
DS,2009,
