Platform,Year_of_Release,User_Score
PS2,2004,8.9
XB,2002,6.1
PS2,2002,5.7
GBA,2007,
PS2,2004,8.2
PS2,2001,8
PS,1998,
XB,2004,9.1
PS2,2001,
PS4,2016,4.9
PS3,2010,8
SNES,1993,
NES,1993,
NES,1991,
PS4,2015,
PS3,2007,7.1
X360,2007,8
WiiU,2013,6.8
PS2,2008,6.2
GBA,2004,
PS3,2013,
PS,1999,
PS2,2002,8.7
PS3,2014,5.1
X360,2012,3.5
PS3,2012,8.3
N64,1996,
PS,1998,
PS4,2015,6.6
PS2,2001,8.9
PS4,2013,6.5
PS,1998,
GB,2001,
DS,2010,8.1
GBA,2002,7.9
X360,2012,7.1
PS2,2003,
PS4,2014,5.4
PS2,2008,
XOne,2014,6.3
XB,2004,7.6
PS2,2003,7.7
PC,2011,2.5
X360,2012,7.9
PS,1998,
Wii,2009,8.9
PS2,2004,9.1
XB,2003,8.7
DS,2006,
GBA,2001,tbd
DS,2008,tbd
X360,2015,
DS,2007,1.9
PS2,2009,8.4
PS3,2011,8.4
SNES,1993,
PS2,2006,8.6
PC,2010,5.3
PS4,2016,4.5
DS,2007,
Wii,2009,7.8
PS2,2005,8.8
PS3,2013,8.5
PS,1999,
PS3,2015,
N64,1997,
PS,1998,
GBA,2001,7.1
GBA,2002,6.9
DS,2009,
GC,2005,9.4
DS,2007,tbd
Wii,2009,tbd
X360,2008,5.9
PS2,2006,
PS,1997,
Wii,2010,8.5
PS3,2008,7.9
GB,1992,
PS,1997,
PC,2010,7.9
3DS,2015,
PC,2003,8.2
GBA,2002,9.1
Wii,2008,8.5
PSP,2007,7.9
PS2,2003,9.1
PS,2000,6.8
XB,2005,8.9
NES,1989,
PS,2001,8.3
GBA,2001,tbd
XB,2003,
PS3,2009,7.9
PS2,2001,7.8
PS2,2003,8.8
PS3,2006,7.9
PC,2013,7.9
PS2,2003,9
PS4,2015,8.2
Wii,2008,8
GEN,1992,
PS2,2000,8.3
Wii,2008,8.7
PS2,2004,9.2
X360,2013,6.5
PS2,2002,8.3
X360,2012,7.2
PS2,2005,8.4
PS4,2016,8.8
2600,1981,
Wii,2011,8.5
GC,2004,7.9
SNES,1991,
Wii,2008,6.7
X360,2006,6.3
PS3,2007,8.3
PS2,2004,
Wii,2007,7.2
GBA,2004,
X360,2008,7.6
2600,1982,
PS,1999,
NES,1986,
PS2,2002,8.9
PS2,2005,
PS2,2004,8.5
XOne,2014,7.5
XB,2004,9.1
PS3,2013,8.1
GC,2001,8.7
PS2,2003,8.8
X360,2014,3
PC,,5.2
PS,1999,8.8
PS2,2004,8.8
X360,2012,7.8
X360,2006,8
PS2,2005,
X360,2010,3.1
GC,2003,7.9
PS4,2013,7.7
PS,1998,
